0,0.28,0.27,0.28
8,0.27,0.28,0.29
16,0.3,0.32,0.27
24,0.33,0.42,0.28
32,0.41,0.67,0.3
40,0.56,1.18,0.33
48,0.9,2.12,0.38
56,1.27,3.46,0.48
64,1.74,5.27,0.61
72,2.35,6.99,0.73
80,3.15,9.43,0.87
88,3.91,12.15,1.03
96,4.76,15.34,1.23
104,5.87,18.43,1.51
112,7,21.93,1.76
120,8.07,26.34,2.03
128,9.54,31.27,2.32
136,10.99,35.29,2.72
144,12.5,40.99,3.11
152,14.3,47.33,3.51
160,16.37,53.02,4
168,18.17,60.49,4.45
176,20.46,67.45,5.02
184,22.31,75.72,5.59
192,24.49,84.68,6.25
200,27.49,93.35,6.99
208,30.34,104.1,7.78
216,33.4,115.5,8.64
224,36.5,128.3,9.48
232,40.61,141.5,10.66
240,44.87,161.4,12.33
248,48.79,181,14.9
255,51.41,192.6,17
